,Unnamed: 0,Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
14,232,Carmen Sandiego Returns,-1.0,-1.0,0,3.2,218,91,17,26,19,65,112,2,0,5,5,2015,4,0,0,1,0,"***REQUIRED: INTEL REALSENSE CAMERA IS REQUIRED TO PLAY THIS VERSION OF CARMEN SANDIEGO RETURNS.
Replay each mission! Multiple variations and replay options make for hours of engaging fun.
The hot pursuit of knowledge: Travel from Machu Picchu to Mount Rushmore — and learn about world geography and culture.
Target age group: Carmen Sandiego Returns is designed for players aged 10 to 14 — but older detectives can play too!
Get in the game with Intel RealSense technology: Use gesture control to get into the action. Pilot a drone plane with your hands, play a hacking mini-game with an interface that tracks your fingertips, and more!",5,105
15,237,Anno 2205 - PC - Standard Edition,-1.0,-1.0,0,3.6,73,32,13,8,3,14,1,1,0,0,0,0,4,3,2,1,0,"Take city-building simulation to new heights with Anno’s strategic economic gameplay.
Colonize continents. Race to Space. Mine the Moon. Transform your cities into thriving metropolises.
Secure the prosperity of your people by managing multiple locations on Earth and on the Moon.
Enjoy fully off-line single player gameplay. Connect online with friends for bonuses.",4,53
16,240,Battlefield 4 - PC,-1.0,-1.0,1,4.5,1881,1429,188,94,37,131,0,1,0,0,0,0,1,1,4,1,0,"Only in Battlefield can you change the landscape in real-time with interactive environments that react to your every move
Only in Battlefield will you find the awe inspiring power of the next generation Frostbite 3 engine, whose unrivaled audio and visual fidelity make your game more dramatic, more believable, and more human
Only in Battlefield can you experience an unmatched level of all-out war that grants you the freedom to play to your strengths and carve your own path to victory
Only in Battlefield do you have the power to dominate land, air and sea with all new, intense water based vehicle combat
Only in Battlefield can you change the landscape in real-time with interactive environments that react to your every move
Only in Battlefield will you find the awe-inspiring power of the next generation Frostbite 3 engine, whose unrivaled audio and visual fidelity make your game more dramatic, more believable, and more human
Only in Battlefield can you experience an unmatched level of all out war that grants you the freedom to play to your strengths and carve your own path to victory
Only in Battlefield do you have the power to dominate land, air and sea with all new, intense water based vehicle combat",8,206
17,243,Paraworld - PC,-1.0,-1.0,1,4.2,24,15,3,2,0,2,35,4,0,0,0,0,2,6,1,1,0,"3 different LAN and Internet multiplayer modes for up to 8 players
Wage war for control of a prehistoric parallel world in this RTS game
Explore 16 dangerous prehistoric scenarios located in 5 climatic zones
9 playable heroes and 3 completely different tribes; control up to 52 units
Over 50 different types of animals, including 40 incredibly detailed dinosaurs",5,59
18,244,The Elf Who Killed Christmas (FREE DEMO) [Download],-1.0,-1.0,0,2.9,19,5,3,0,1,7,112,1,0,13,1,2014,1,1,0,1,0,"Hilarious Action!
Outrageous Deaths and head-shots!
Fight Christmas characters in war and gore: Elves, Snowmen, Toys, Nutcracker, Santa Claus, and more!
Four Crazy guns with Power Ups! Laser Blaster! Ornament Gun! Grenade Gun! Torch Gun!
Shoot through levels of wintery fun: Arctic Mountain, Toy Factory, Christmas town, and Santa's Palace.",5,50
19,245,Path of Exile [Download],-1.0,-1.0,0,3.9,286,163,31,31,20,42,112,3,0,3,2,2014,2,2,0,1,0,"Freedom. Power. Revenge: Banished for your misdeeds to the dark, brutal world of Wraeclast, you play as the Duelist, Witch, Ranger, Templar, Marauder, Shadow or the newly added Scion class. From forsaken shores through to the ruined city of Sarn, explore Wraeclast and uncover the ancient secrets waiting for you.
Unlimited Character Customization:Create and customize hundreds of unique skill combinations from tradable itemized gems and our gigantic passive skill tree. Combine skill gems, support gems and trigger gems to create your own unique combination of power, defense and destruction.
Dressed to Kill:Path of Exile is all about items. Find, collect and trade magic, rare and unique items with arcane properties, then customize your character build around the deadliest combinations you possess.
Brutal Competitive Play:Battle in PvP tournaments seasons and Capture the Flag events for worldwide recognition. Compete in Daily Leagues and Race Events that run as separate game worlds with their own ladders and economies to win valuable prizes.
Fair-To-Play. Never Pay-To-Win:We're committed to creating a fair playing field for all players. You cannot gain gameplay advantage by spending real money in Path of Exile.
Sacrifice of the Vaal:New Content available now: It expands the core game and sets the pace for our ongoing four-monthly updates.",6,206
20,247,The Norseman [Download],-1.0,-1.0,0,1.0,1,0,0,0,0,1,112,2,0,18,4,2015,4,3,0,1,0,"15 secret achievements
4 challenging stage
captivating music",3,8
21,248,Grand Theft Auto: Episodes from Liberty City - PC,-1.0,-1.0,0,3.6,92,40,19,6,6,19,30,1,0,0,0,0,1,1,2,1,0,"Brings the interweaving Grand Theft Auto IV stories of Niko Bellic (main game), Johnny Klebitz (The Lost and Damned) and Luis Lopez (The Ballad of Gay Tony) to an explosive conclusion.
Contains The Lost and Damned and The Ballad of Gay Tony, on one disc. These were originally digital content releases for GTAIV that were unavailable to PC players.
Both games are standalone releases that do not require the original Grand Theft Auto IV game, or an Internet connection for their single player campaigns. (multiplayer modes are online)
Complete your Grand Theft Auto IV experience with powerful new weapons, vehicles, music, features and new mission types.
Each episode contains both a single player campaign as well as a variety of online multiplayer modes specific to the storyline of each.",5,129
22,250,The Spiderwick Chronicles - PC,-1.0,-1.0,1,4.3,14,9,0,1,1,0,37,2,0,0,0,0,2,2,2,1,0,"Play as Jared, Mallory, Simon or Thimbletack, each with their unique abilities.
Battle swarms of goblins and otherworldly creatures.
Capture fantastical creatures and solve puzzles as you explore the Spiderwick estate.",3,31
23,252,Half-Life 2: Game of the Year Edition - PC,-1.0,-1.0,0,3.6,75,30,11,15,8,9,0,1,0,0,0,0,3,1,1,1,0,"Realistic physics: objects have varied and appropriate mass, density, physical properties
Sequel to the hit first-person shooter
Scientist-with-a-crowbar Gordon Freeman joins a ragtag human resistance fighting extradimensional invaders for the survival of a conquered Earth
Unnervingly realistic graphics the likes of which have not been witnessed outside of a motion picture or pre-rendered cut scene
Special Edition includes Half-Life 2, Counter-Strike: Source, plus Half-Life 2: Deathmatch and Half-Life: Source.",5,69
