Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
NASCAR 21: Ignition - Day 1 - Xbox One,-1.0,-1.0,3.7,129,69,12,10,6,29,Motorsport Games,Racing-game-genre,0,0,0,0,Xbox_one,0,0,Xbox One,Multiplayer,"Career Mode - The progression mode for the game. Focused on the player as the driver. Perform well and build your reputation to get contract offers. Negotiate contracts to drive for better teams and be in with a chance to challenge for the championship.
Race Now - This is our Quick Race Mode. Choose any car, any driver and any event and head to track to race as a NASCAR hero. Or choose your own custom livery and race as yourself.
Online Multiplayer - Party up with friends and head online to race together in our two curated playlists. “Bump and Run” gives short courses and road courses.
Enhanced Graphics - Utilizing the Unreal Engine, NASCAR 21: Ignition allows players to experience thrill and atmosphere of the NASCAR Cup Series.
Improved Gameplay - With Studio 397's highly-acclaimed rFactor physics engine, dynamic AI and more in-depth racing, players will have a gaming experience unlike any before in a NASCAR title.",5,159
Fallout 76: Wastelanders - PC,39.99,0.0,3.6,1381,649,179,193,110,234,Bethesda,Role-Playing,0,0,0,0,Windows 8, Windows 7,Digital_copy,PC,0,"Bethesda Game Studios, the award-winning creators of Skyrim and Fallout 4, welcome you to Fallout 76, the online prequel where every surviving human is a real person. Work together, or not, to survive. Under the threat of nuclear annihilation, you’ll experience the largest, most dynamic world ever created in the legendary Fallout universe
Reclamation Day, 2102. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers—chosen from the nation’s best and brightest – emerge into post-nuclear America. Play solo or join together as you explore, quest, build, and triumph against the wasteland’s greatest threats
Contains Digital Download Code. No Disc Included
Must be redeemed on the Bethesda client",4,110
House of 1000 Doors: Evil Inside Collector's Edition [Download],11.99,0.0,2.0,43,9,0,0,3,30,Alawar Entertainment,Seek_and_find_games,0,16,August,2017,Windows XP, Windows Vista,0,PC,0,"Captivating characters
An edge-of-your-seat story
Simple but rewarding gameplay
Spectacular artwork and animation
Challenging achievements",5,15
House of 1000 Doors: Evil Inside Collector's Edition [Download],11.99,0.0,2.0,43,9,0,0,3,30,Alawar Entertainment,Seek_and_find_games,0,16,August,2017,Windows XP, Windows Vista,0,PC,0,"Captivating characters
An edge-of-your-seat story
Simple but rewarding gameplay
Spectacular artwork and animation
Challenging achievements",5,15
Belle's Beauty Boutique - PC,14.99,0.0,4.0,20,12,2,1,0,4,EGames,Adventure_games,0,0,0,0,Windows Me, Windows Vista,CD-ROM,PC,0,"80 levels of fun!
Unique Customer Characteristics
Upgrade Boutique Décor
Easy to Learn and Play!",4,15
Pirates of Treasure Island (PC Games),-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,EGames,Arcade Games,0,0,0,0,Windows XP,0,CD-ROM,PC,0,"Atmospheric movie style soundtrack
Unique combination of puzzle and adventure
Varying levels
Game statestics
Amazing pirate animations",5,17
Hoyle Card Games 2008 [OLD VERSION],-1.0,-1.0,4.2,157,109,9,12,7,17,Encore,Card Games,0,11,September,2007,Windows XP, Windows Vista,0,Mac;pc,0,"All games are based on the official rules from Hoyle
Create your own character with Face Creator, customizing everything from facial features to clothes
Interactive computer opponents with multiple skill levels to challenge everybody
Play together on the same computer and challenge your friends and family for bragging rights or play solo with 55 different solitaire games included.
Over 75 card games including - Texas Hold'em, Hearts, Bridge, Crazy Eights, Gin Rummy, Omaha Hold'em, Pinochle, Rummy 500, and much more!",5,80
Cabela's Big Game Hunter 5 (Jewel Case) - PC,-1.0,-1.0,3.5,4,2,0,0,0,1,ACTIVISION,Action Video Games, Hunting-game-genre,0,0,0,Windows 95, Windows 98,CD-ROM,Pc,0,0,0,0
Freddi Fish 5: Coral Cove (Jewel Case) - PC,-1.0,-1.0,4.2,40,25,7,3,0,4,Atari,Childrens Early Learning Software,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Blade Runner,-1.0,-1.0,4.6,15,8,6,0,0,0,Westwood Studios,Action Games,0,0,0,0,Windows 95,0,0,PC,0,0,0,0
Lost Secrets Ancient Mysteries [Download],9.99,0.0,3.0,3,0,0,1,0,0,Encore,Seek_and_find_games,0,15,October,2012,Windows Vista, Windows XP,0,PC,0,"Pick up clues to decipher ancient codes
Hundreds of gems in each location
Credit based hint system
10 Acts with 50+ levels
Discover hidden objects and clues",5,27
Dark Age of Camelot 5th Anniversary Edition - PC,34.51,0.0,3.6,9,4,2,0,0,2,Electronic Arts,Strategy_games,0,0,0,0,Windows XP,0,CD,Pc,0,"A New Playable Race for all Realms - The Minotaur. Half man, half bull, the Minotaur's strength is so great he can wield two-handed weapons with a single hand
A New Player Class for all Realms - The Mauler. Unlock this new brawling class and channel the elemental powers of the earth.
A New Dungeon - The Labyrinth. Deep beneath the island of Agramon, this vast maze is the largest single dungeon in any MMO.
New RvR Game Play - Minotaur Relics. Players may acquire and use these relics, but become targets to be hunted by the other Realms.
New Item Slots - Mythical Items. Hunt the depths of the Labyrinth for these rare new items.",5,116
"GMT Games GMT2001 Imperial Struggle, Mixed Colours",-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,GMT Games,Wargame, Eurogame,0,0,0,0,0,0,0,Standard Packaging,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
Imperial Struggle is a two-player game depicting the 18th-century rivalry between France and Britain. It begins in 1697, as the two realms wait warily for the King of Spain to name an heir, and ends in 1789, when a new order brought down the Bastille.
The game is not merely about war: both France and Britain must build the foundations of colonial wealth, deal with the other nations of Europe, and compete for glory across the span of human endeavor.
Imperial Struggle covers almost 100 years of history and four major wars. Yet it remains a low-complexity game, playable in a short evening.
In war turns, each theatre can bring great rewards of conquest and prestige, but territorial gains can disappear at the treaty table.
At the end of the century, will the British rule an empire on which the sun never sets? Or will France light the way for the world, as the superpower of the Sun King's dreams or the republic of Lafayette's?",9,188
The Walking Dead: Survival Instinct - Walker Herd Survival Pack [Online Game Code],4.99,0.0,3.8,19,9,2,2,1,2,ACTIVISION,Action_games,0,16,April,2013,Windows XP, Windows Vista,0,PC,0,0,0,0
SMITE - PC ONLY [Download],0.01,0.0,4.3,681,497,40,61,13,74,Hi-Rez Studios,Action_games,0,11,July,2013,Windows Vista, Windows XP,0,PC,0,"Be a God - Cut through your enemies, encase them in ice, or drown them in a vortex of souls. Assume direct control of your godlike avatar and experience the MOBA genre up close with the game camera directly behind your character.
Tactical Gameplay - Use your godlike abilities to fulfill key roles such as damage dealer, tanking, crowd control, and support. Explore the map and defeat NPC enemies for increased gold and buffs that help both you and your allies.
Mythical Setting - Two teams of 5 players fight to slay the opposition's Minotaur on an inferno-themed battlefield. But first they must contend with three flaming Phoenixes plus Cyclops NPC camps and the legendary Fire Giant in the jungle.
Power Up - In a match, your god levels from 1 to 20, causing your abilities to gain strength. In-game items and consumables to benefit your god and complement your personal play style - buffing your Magical power, Physical power, Defense or Utility.
Calculated Strikes - Every attack in SMITE is a skill shot that you control. Predict your enemies' movements and hit your mark for maximum effect in fast-paced combat.",5,191
Dead Space - PC,14.99,0.0,4.6,423,355,25,8,12,16,Electronic Arts,Shooter-action-game-genre, Shooter_action_games,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Dead Space for PC is sure to please any action, adventure gamer looking for a bloody battle against deadly aliens
Gameplay takes place on the USG Ishimura where the crew has been infected by an alien scourge
Neutralize the attacking enemies by shearing off limbs with powerful weapons
Telekinetic powers allow you to pick up objects (even the aliens own severed arms and legs) and hurl them at your advancing enemies
Battling enemies and solving puzzles takes on new challenges and present ingenious opportunities with the Zero-G gameplay",5,88
The Witcher 2: Assassins of Kings Enhanced Edition,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,WB Games,Action Games, Role-playing-game-genre,0,0,0,0,0,0,0,5.8 x 7.8 x 1 inches,"
Make sure this fits by entering your model number.
Make sure this fits by entering your model number.
by entering your model number.
The Witcher 2: Assassins Of Kings is a single player Role Playing Game (RPG), and sequel to the critically acclaimed 2007 PC game, The Witcher.
Assassins Of Kings continues the adventures of the Medieval monster hunter for hire, Geralt of Rivia, and his search for the truth of his forgotten past and the treachery surrounding him.
Game features include: hack n' slash and magical combat, a mature storyline, game development based on choices in mission play and dialog chains and weapons variety.
Sequel to the acclaimed 2007 PC RPG, The Witcher 2: Assassins of Kings continues the adventures of Geralt of Rivia
A complex, expansive and mature adventure with a non-linear story in which every decision may have grave consequences
Experience and exceptionally realistic, vast game world, teeming with its own life and distinct locations
Spectacular, dynamic, brutal combat system featuring numerous tactical options such as, real-time interactive moves, ranged weapons, traps and bait and non-lethal attacks
Exclusive bonus items available only in this Special Edition of the game",12,192
