Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Dungeon Siege 3 [Online Game Code],14.99,0.0,3.9,234,128,28,35,11,30,Square Enix,Role_playing_games, Adventure_games,21,June,2011,Windows XP, Windows Vista,0,PC,0,"Adventure solo or with friends in co-op multiplayer.
Uncover a deep story that only Square Enix and Obsidian Entertainment can deliver.
Pick from unique and highly customizable character classes with a wide range of abilities.
Recruit companions with unique personalities, abilities and views on the world around them.
Make weighty decisions that impact alliances, enemies and ultimately the culmination of the story.",5,62
Risk II,-1.0,-1.0,3.8,72,29,20,6,4,10,Atari,Board_games,0,0,0,0,Windows 95, Windows 98,CD-ROM,PC,0,0,0,0
Trackmania Club Access (1 Year Subscription) - PC [Online Game Code],29.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,Ubisoft,Sports_and_outdoors_games, Racing_games,2,July,2021,Windows 10,0,0,PC,0,"Experience player-made tracks with the Track of the Day, Arcade Channel, and Club online rooms and campaigns.
Create skins and replays. Build and share tracks with the advanced track editor.
Compete in the daily and monthly competitions, and the Open Grand League.
Join and create your clubs to share and enjoy exclusive creations and activities.
Keep the advanced editor, the 365 Track of the Day, and the 100 official tracks after your access expires.",5,74
NFL Fever 2000 - PC,-1.0,-1.0,3.7,7,3,1,0,0,1,Microsoft,Football Games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Lost: Via Domus - PC,-1.0,-1.0,4.2,36,19,9,4,0,2,Ubisoft,Adventure-game-genre, Action Video Games,0,0,0,Windows XP Home Edition, Windows XP Professional Edition,DVD-ROM,Pc,0,"Play as a survivor of Oceanic Flight 815: Confront your dark past, seek your redemption, and ultimately find a way home
Explore familiar locations, unravel mysteries, and interact with the main characters from the show
Solve puzzles, outsmart enemies, battle the smoke monster, and overcome many other challenges to survive the island and come out alive",3,56
Diablo 2,-1.0,-1.0,4.0,499,274,94,34,44,49,Blizzard Entertainment,Role_playing_games,0,0,0,0,Windows XP,0,CD-ROM,PC/Mac,0,0,0,0
Horse Lovers Compendium 5-Pack [Download],14.99,0.0,2.7,12,2,1,1,1,4,Viva Media,Adventure_games,0,3,June,2013,0,0,0,PC,0,"Care for your horses, train for English and western style riding, learn dressage, show jumping, and much more!
Compete for the cup in big cross country races.
Enjoy the thrill of competition in the ring and on the track
Saddle up and enjoy!",4,43
SpongeBob SquarePants: Diner Dash,-1.0,-1.0,4.2,16,11,0,0,4,0,Valuesoft,Arcade Games,0,4,January,2007,0,0,CD-ROM,Pc,0,"¿SpongeBob SquarePants is back with an undersea diner twist!
¿Play through 50 fast-paced levels.
¿Keep customers happy at 5 undersea restaurants with 5 types of customers, each with unique behaviors.
¿Challenge yourself with 2 modes of play: SpongeBob's Career & Endless Shift.
¿Enjoy hilarity, seaworthy sounds and surprise guest appearances.",5,50
Mass Effect Trilogy - PC,-1.0,-1.0,4.6,889,711,97,44,26,17,Electronic Arts,Role-playing-game-genre,0,0,0,0,Windows Vista, Windows 7,DVD-ROM,PC,0,"New - Retail
30-Day Warranty
Electronic Arts 19804
EA 19804 Mass Effect Trilogy for PC",4,15
Mass Effect Trilogy - PC,-1.0,-1.0,4.6,889,711,97,44,26,17,Electronic Arts,Role-playing-game-genre,0,0,0,0,Windows Vista, Windows 7,DVD-ROM,PC,0,"New - Retail
30-Day Warranty
Electronic Arts 19804
EA 19804 Mass Effect Trilogy for PC",4,15
