Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Forbidden Secrets: Alien Town Collector's Edition [Download],9.99,0.0,4.0,13,7,1,2,0,1,Alawar Entertainment,Seek_and_find_games,0,3,April,2017,Windows 8.1, Windows XP,0,PC,0,"96 atmospheric locations!
40 mind-bending mini-games!
13 non-player characters!
28 hidden object scenes!
16 stunning cinematics!",5,16
Apex Legends - Gibraltar - PC [Online Game Code],20.0,0.0,4.7,8,6,0,1,0,0,Electronic Arts,Action_games, Strategy_games,16,February,2021,Windows 10,0,0,PC,0,"Included in the Gibraltar Edition
Exclusive Legendary“Kingof the Sea” Gibraltar skin
Legendary“Terror of the Deep” Devotionskin
Exclusive “Lone Shark” Gun Charm and “Making Waves” Badge
1,000 Apex Coins",5,28
Mystery P.I.: The Lottery Ticket - PC,-1.0,-1.0,4.4,129,85,23,12,3,3,PopCap Games,Puzzle Games,0,0,0,0,Windows XP, Windows Vista,CD-ROM,Pc,0,"Investigate 20 locations
Find over 2,100 hidden objects
Solve 20 Make-A-Match puzzles
Play two addictive game modes: Find the Ticket and Unlimited Seek and Find
Play two addictive modes: Find the Ticket and Unlimited Seek & Find",5,37
Angry Brick Breaker 3D - Ball Block and Paddle Ultimate Brick Breaking Game [Download],0.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,Mahadev Interactive,Action_games,0,21,November,2013,Windows Vista, Windows XP,0,PC,0,"8 unique levels with Huge Block Tree Towers
Lasers, Rockets and Nuke
Point Collection and Bonus
Various Power-ups (like Fire Ball, Bigger Ball, Weapon Reloads, etc)",4,26
The Chronicles of Riddick: Assault on Dark Athena [Download],19.99,0.0,3.3,244,112,21,9,14,85,Atari,Shooter_action_games,0,12,October,2010,Windows XP, Windows Vista,0,PC,0,0,0,0
Mystery Tales: Alaskan Wild [Download],9.99,0.0,2.7,13,2,2,1,0,5,ScreenSeven,Seek_and_find_games,0,25,October,2016,Windows 8.1, Windows 8,0,PC,0,"Break a terrible curse in his spectacular Hidden Object adventure
Take on the form of wild animals and use their unique skills
Solve tricky puzzles and mind-bending minigames
Are you ready for the latest Hidden Object adventure from the developers of the top hit ""Mystery Tales: The Twilight World""?",4,49
Jazzpunk [Online Game Code],14.99,0.0,3.7,7,4,0,0,0,2,Adult Swim Games,Adventure_games,0,7,February,2014,Windows Vista, Windows XP,0,PC,0,"Stereographic Polygony Soundeo™, NOW IN COLOURVISON.
A cast of over 360,000 polygons, working in concert.
For the first time ever, the human voice captured and preserved in CryoSonic Stasis™, thawed before your very ears during NPC exchanges (voice acting).
Half a dozen jokes; Contains 5% of recommended daily intake of vitamin C++
Original soundtrack featuring exotic percussion and homemade analog electronic instruments.",5,62
The Sims 4: Eco Lifestyle - PC [Online Game Code],39.99,0.0,4.7,866,701,95,43,17,8,Electronic Arts,Adventure_games,0,4,June,2020,Windows 8.1, Windows 8,0,PC,0,"Sustainable living - reduce, reuse, and recycle! Not only is it good for the environment, but it saves you simoleons, too
Collaborative community - engage with your Neighborhood through the new Voting board, which features different Neighborhood action plans each week
Change the world - Settle your sim into a Neighborhood and watch it transform around you
Upcycled decor - your Sims will find a lot more than expected if they're brave enough to go dumpster diving",4,77
IGT Slots: Diamond Galaxy,18.95,0.0,4.3,101,61,23,7,3,6,Masque Publishing,Casino Games,0,0,0,0,Windows 7 / Vista / XP, Mac OS 10.5+,CD-ROM,"Windows 7 / Vista / XP, Mac OS X 10.5+",0,"slot machine games for computer
produced in 2012
made in USA",3,11
Comanche Standard - PC [Online Game Code],19.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,THQ Nordic,Action_games, Shooter_action_games,26,August,2021,Windows 10,0,0,PC,0,"Fight in the evolving single player campaign and make a difference in a conflict of global proportions.
Complete different objectives, earn medals for special tasks, and learn about Tellus Task Force's world, the part of IJTF. Each medal provides its challenge, so prepare to test your skills!
Compete with other Comanche players from all around the world in explosive team-based multiplayer modes!",3,62
