Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Sonic Games Collection [Online Game Code],99.99,0.0,4.7,5,3,1,0,0,0,SEGA,Action_games,0,24,March,2015,Windows XP, Windows Vista,0,PC,0,"Sonic Games Collection
Includes 18 Titles",2,6
Aliens: Colonial Marines - PC (Standard Edition),-1.0,-1.0,3.7,273,114,65,32,13,46,SEGA,Shooter-action-game-genre,0,0,0,0,Windows Vista, Windows XP,DVD-ROM,PC,0,"Using authentic environments inspired by the film series including Hadley’s Hope, the Sulaco and LV-426, you will be immersed in an eerie, atmospheric world where any moment could bring your death.
The masters of co-op bring their expertise to the Aliens universe. Xenos getting too tough? Call up your buddies so they can drop in with extra firepower.
Create your perfect killing machine. An extensive upgrade system allows players to customize their characters to play the way they want. Earn experience to get perks, new weapons and new looks for your squad.
The whole campaign can be played with a squad of up to four players, dropping in and out as necessary through self-contained missions within an over-arching narrative.
Get tooled up with classic Marine weapons including pulse rifles, sentry turrets, arc welders, motion trackers, flame-throwers, powerloaders, and more
Explore environments inspired by the film series, including Hadley's Hope, the Sulaco and LV-426, and others
The whole campaign can be played with a squad of up to four players, dropping in and out as necessary",7,175
SimCity (UK),14.99,0.0,4.1,374,239,48,33,7,44,Electronic Arts,Simulation Games,0,0,0,0,0,0,0,Pc,0,"Constructible Worlds - Creative and customisable world that offers unique gameplay benefits, all with a fun tactile interface.
Sims Matter - The Sims in your city speak to you directly and its up to you to respond to their needs. Will you listen and be the toast of the town? Or abuse your power for fame and fortune?
Specialise in What You Love - Mold your city as a casino resort, manufacturing hub, educational enclave, and more, and then watch as a unique look and feel spread throughout your city.
Multiplayer - Build a region with friends for the first time! Collaborate or compete in regional and global challenges and make decisions that impact the greater SimCity World.
GlassBox Engine - SimCity introduces GlassBox, the revolutionary simulation technology that gives you the power to impact individual Sims' lives, manage city level simulation, and balance multiple city simulations at once.",5,149
Hot Rod: American Street Drag (Jewel Case) - PC,-1.0,-1.0,5.0,1,1,0,0,0,0,Valuesoft,Racing_and_flying_games,0,0,0,0,Windows XP,0,CD-ROM,Pc,0,0,0,0
Mystery PI: New York Fortune - PC,-1.0,-1.0,4.4,33,23,6,0,0,2,Valuesoft,Seek_and_find_games;puzzle_games,0,0,0,0,Windows 7;Windows Vista;Windows XP;Me;Windows 2000,0,CD-ROM,PC,0,"Explore 25 amazing New York locations
Find over 2,100 hidden objects
Solve 5 unique types of mini-games
Play three ways: Find the NY Fortune and two Unlimited game modes
Score huge bonus points with perfect investigations",5,36
Space Rangers 2: The Rise of the Dominators - PC,13.48,0.0,4.0,27,15,4,4,0,4,eGames,Role_playing_games,0,0,0,0,Windows XP,0,CD-ROM,Pc,0,"One of the most critically acclaimed games of the year!
Turn-based RPG encompassing various gameplay genres in a vast and open-ended interstellar world
Unique, ambitious vision that delivers epic gameplay on a new scale!
ADDED BONUS, includes the original Space Rangers 1 and a collectible poster!",4,46
Sonic Games Collection [Online Game Code],99.99,0.0,4.7,5,3,1,0,0,0,SEGA,Action_games,0,24,March,2015,Windows XP, Windows Vista,0,PC,0,"Sonic Games Collection
Includes 18 Titles",2,6
Commandos Strike Force - PC,9.95,0.0,3.5,15,6,1,1,1,3,Square Enix,Shooter_action_games,0,0,0,0,Windows XP,0,CD-ROM,Pc,0,"Experience stealth and action combat in this 1st-person shooter game
Play as 1 of 3 elite commandos--the Green Beret, Sniper, or Spy
Execute deadly attacks from behind enemy lines; 2-commando missions
Open-ended levels and multiple sub-missions within levels for more control
Online multiplayer modes for up to 16 players",5,49
Close Combat Trilogy - PC,-1.0,-1.0,3.8,18,10,3,0,0,4,Microsoft,Military_and_historical_strategy_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Hot Rod: American Street Drag (Jewel Case) - PC,-1.0,-1.0,5.0,1,1,0,0,0,0,Valuesoft,Racing_and_flying_games,0,0,0,0,Windows XP,0,CD-ROM,Pc,0,0,0,0
Mystery PI: New York Fortune - PC,-1.0,-1.0,4.4,33,23,6,0,0,2,Valuesoft,Seek_and_find_games;puzzle_games,0,0,0,0,Windows 7;Windows Vista;Windows XP;Me;Windows 2000,0,CD-ROM,PC,0,"Explore 25 amazing New York locations
Find over 2,100 hidden objects
Solve 5 unique types of mini-games
Play three ways: Find the NY Fortune and two Unlimited game modes
Score huge bonus points with perfect investigations",5,36
The Sims 4 - Cool Kitchen Stuff [Online Game Code],9.99,0.0,4.7,646,523,71,32,6,12,Electronic Arts,Simulation_games,0,11,August,2015,Windows 8, Mac_os_x,0,PC,0,"Get the All new Ice Cream Maker –Grab a cone of ice cream, gelato, or soft serve With combinations ranging from whipped cream and sprinkles to chocolate sauce and banana slices, choose from different toppings and garnishes to adorn your Sims’ favorite frozen treats.
Give the Kitchen a Fresh New Look – From cabinets with frosted glass doors to new stainless steel appliances, create the coolest kitchen for your Sims to cook and chill in.
Good Enough to Eat Fashion and Hairstyles –Your Sims are ready to serve up some fashion Update your Sim’s look with a variety of new hairstyles and trendy casual apparel.
Requires The Sims 4 game to play (sold separately) and all updates to play. Internet connection required for product installation.",4,125
Angry Bird Star Wars - PC,-1.0,-1.0,4.1,80,52,4,9,8,4,Rovio Entertainment,Arcade-game-genre,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Episodic content that centers around Star Wars key locations/planets.
Each planet contains 30 levels of gameplay
Full character Lineup",3,19
Command & Conquer: Red Alert 3 - PC,-1.0,-1.0,4.0,425,246,59,42,21,51,Electronic Arts,Real_time_strategy_games,0,0,0,0,Windows Vista, Windows XP,CD-ROM,PC,0,"Command and Conquer: Red Alert 3 for the PC brings back the fan-favorite real-time strategy game
The Soviets created a time-travel device which creates interesting plot twists
Play as the Allies, the Soviets, or the Empire of the Rising Sun
Red Alert 3 has land units, air units, and naval units, all integral parts of the game
Cooperative campaign and head-to-head multiplayer modes provide hours of fun gameplay",5,68
Surf's Up - PC,6.95,0.0,3.9,9,5,1,0,1,0,Ubisoft,Adventure-game-genre, Life-simulation-game-genre,0,0,0,Windows XP,0,CD-ROM,Pc,0,"Win the championship in the single-player mode, or challenge friends in the multiplayer mode
10 playable characters with their own tricks and styles
Impressive water simulation and physics - Surf in a variety of locations, from the calm water of Shiverpool to the explosive waters of the volcano area
Tons of unlockable content
Awesome game soundtrack for carving waves",5,59
Anno 2205 Standard Edition [Online Game Code],39.99,0.0,3.6,73,32,13,8,3,14,Ubisoft,Action_games,0,3,November,2015,Windows 8, Windows 7,0,PC,0,"Take city-building simulation to new heights with Anno’s strategic economic gameplay.
Colonize continents. Race to Space. Mine the Moon. Transform your cities into thriving metropolises.
Secure the prosperity of your people by managing multiple locations on Earth and on the Moon.
Enjoy fully off-line single player gameplay. Connect online with friends for bonuses.
Upgrade to the GOLD EDITION and get the Season Pass, the digital art book and the original soundtrack bundle.",5,72
Command & Conquer Remastered Collection: Special Edition -25th Anniversary - PC - Exclusive Limited Edition Box Set,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,Command & Conquer,RTS (Real time strategy), Simulation Games,0,0,0,Windows 10,0,CD-ROM,PC,0,"COMMAND AND CONQUER REMASTERED COLLECTION FOR PC
TIBERIUM CRYSTAL USB WITH REMASTERED OST
119 TRACKS WITH OVER 7 HOURS OF MUSIC!
REVERSIBLE POSTER
FACTION ENAMEL PINS (4)",5,27
Descent 1 & 2: The Definitive Collection - PC,-1.0,-1.0,5.0,8,8,0,0,0,0,Interplay,Shooter_action_games,0,0,0,0,Windows ME, Windows 98,CD-ROM,Pc,0,0,0,0
Secret Weapons Over Normandy - PC,-1.0,-1.0,3.5,30,14,4,2,2,7,Dreamcatcher,Adventure Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,PC,0,"Join a squad of pilots dedicated to thwarting the Third Reich's most heinous plans
Fly more than 20 authentic aircraft across thirty daring missions
Lose yourself in WWII action as you rise through the ranks of an elite squadron
Engage in 30+ action-packed missions featuring air-to-air and air-to-ground battles
For 1 player",5,52
Forgotten Realms Archives: Silver Edition - PC,-1.0,-1.0,3.7,13,6,2,0,2,2,Interplay,Role_playing_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
Gladiators: Galactic Circus Games - PC,-1.0,-1.0,4.7,3,2,0,0,0,0,Tri Synergy,Action Games,0,0,0,0,Windows ME, Windows XP,CD,Pc,0,0,0,0
Darksiders Complete - Includes Darksiders & Darksiders II,18.95,0.0,3.7,34,14,6,4,4,4,Nordic Games,Adventure Games, Role Playing Games,0,0,0,Windows XP, Windows 7,DVD-ROM,"PC, Windows",0,"Brutal attacks and supernatural abilities
Devastating arsenal of angelic, demonic and earthly weapons
Play Death
Epic universe
Includes Darksiders and Darksiders II, All DLCs & Seasonpass",5,26
"$100,000 Pyramid - PC",-1.0,-1.0,4.0,20,12,2,2,0,3,Vivendi Universal,Trivia_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
SpellForce Complete Edition [Online Game Code],59.99,0.0,4.0,1,0,1,0,0,0,Nordic Games,Real_time_strategy_games,0,16,January,2014,Windows Vista, Windows XP,0,PC,0,"Online Game Codes are codes you can redeem via your computer, console, or handheld device for various subscriptions, points, or games.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,50
