Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Outriders - PC [Online Game Code],49.99,10.0,3.7,58,23,16,6,2,8,Square Enix,Role_playing_games, Shooter_action_games,1,April,2021,Windows 10,0,0,PC,0,"A DARK AND DESPERATE JOURNEY Discover the hostile planet of Enoch as you embark on a journey to the source of a mysterious signal.
DYNAMIC 1-3 PLAYER CO-OP Play single-player or join up to two friends in drop-in drop-out co-op as you tackle the horrors of a hyper-evolved planet.
FOUR UNIQUE CLASSES Create and customize your own Outrider and choose from four unique classes each with its own skill tree to define your own playstyle.
SCAVENGE & ADAPT Customize and upgrade your Outrider with countless items of mod-able guns and gear, as you leave humanity behind.",4,96
Nancy Drew: Last Train to Blue Moon Canyon - PC,-1.0,-1.0,4.3,112,82,6,8,5,7,Her Interactive,Adventure-game-genre,0,0,0,0,Windows ME, Windows XP,"CD-ROM, DVD-ROM",Pc,0,"Find secrets in the train’s caboose, dining car, master suite
Meet Frank and Joe Hardy as animated characters
Play pachinko, sort heirloom dolls, and be a short order cook
Explore a crypt, mining museum, and Jake’s mine
New camera cell phone for taking pictures and calling for hints",5,48
SpellForce 3: Fallen God Standard - PC [Online Game Code],24.99,0.0,-1.0,-1,-1,-1,-1,-1,-1,THQ Nordic,Strategy_games,0,3,November,2020,Windows 8, Windows 7,0,PC,0,"Your dwindling, nomadic tribe of trolls has just one goal: survival.
Plagued by vicious poachers for your precious tusks and weakened by disease, hope is almost lost - until an enigmatic Elven stranger offers you, the young chieftain Akrog, a path to salvation: you must resurrect a fallen",2,48
The Sims 4 - Get to Work [Online Game Code],39.99,0.0,4.7,1179,990,106,47,11,23,Electronic Arts,Simulation_games,0,31,March,2015,Mac OS X 10.7 Lion, Windows 8,0,PC,0,"Order The Sims 4 Get to Work PC [Online Game Code] by January 5, 2021 to receive The Sims 4 - PC [Online Game Code] base game at no additional cost. Must be shipped and sold by Amazon. Codes will be sent within 24 hours of shipment
You rule the workplace with The Sims 4 Get to Work
Actively control your Sims while they’re at work and determine whether your Sims are headed towards the big promotion or becoming the workplace menace
Learn new skills to help your Sims create even more unique objects to enjoy in The Sims 4",4,100
The Lord of the Rings: The War of the Ring - PC,-1.0,-1.0,4.1,54,32,3,9,5,2,Vivendi Universal,Strategy_games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"Real time strategy game set in the Lord of the Rings universe
Play as the forces of Good or Evil using multiple types of character units
Real world environment and terrain effects alter the outcome of skirmishes and battles
Character units gain experience and visual enhancements as they destroy enemy units
For one or more players",5,56
Dark Romance: Kingdom of Death [Download],6.89,0.0,3.5,9,3,1,1,0,2,ScreenSeven,Seek_and_find_games,0,18,April,2017,Windows Vista, Windows 8,0,PC,0,"Travel back to the mythical world of ancient Greece
Uncover a devilish conspiracy in this awesome Hidden Object hit
Solve dozens of intricate puzzles and tricky minigames
Don't miss this brilliant new game in the beloved Dark Romance series!",4,39
GRIM TALES Part 3: THE WISHES + Part 4: THE STONE QUEEN Hidden Object + Bonus Game,17.95,0.0,4.4,46,34,2,3,1,2,Big Fish Games,Adventure Games,0,0,0,0,Windows XP, VISTA,DVD-ROM,Pc,0,Brand New in box. The product ships with all relevant accessories,1,11
Blood: One Unit Whole Blood [Online Game Code],5.99,0.0,4.7,9,7,0,1,0,0,Atari,Shooter_action_games,0,15,July,1998,Windows Vista, Windows XP,0,PC,0,"Includes the original Blood and addons: Plasma Pak and Cryptic Passage.
Various, often crazy weapon types like a pitchfork, flare gun or a Voodoo doll.
A grim atmosphere with an abundance of graphical violence, offset by dark humor and cheesy one-liners.",3,41
Blood: One Unit Whole Blood [Online Game Code],5.99,0.0,4.7,9,7,0,1,0,0,Atari,Shooter_action_games,0,15,July,1998,Windows Vista, Windows XP,0,PC,0,"Includes the original Blood and addons: Plasma Pak and Cryptic Passage.
Various, often crazy weapon types like a pitchfork, flare gun or a Voodoo doll.
A grim atmosphere with an abundance of graphical violence, offset by dark humor and cheesy one-liners.",3,41
Homefront: The Revolution - PC,-1.0,-1.0,3.3,44,16,4,7,3,11,Deep Silver,Shooter-action-game-genre,0,0,0,0,Windows 8, Windows 7,DVD-ROM,PC,0,"Explore a living, breathing open world - with true open world gameplay, brought to life with dynamic weather and day and night cycles enabled by astonishing CRYENGINE-powered visuals
Wage Guerrilla Warfare - this is no linear shooter; learn the art of guerrilla warfare and use ambush, infiltration and hit and run tactics against your foe in thrilling un-scripted firefights
Build the Resistance - recruit revolutionaries to the cause, establish bases and safehouses, capture and customize a deadly arsenal, and build improvised, homebrew weapons for your Guerrilla Tool Kit
Ignite the Revolution - from oppressed citizen to revolutionary leader, an epic single-player campaign tells the story of the second War of Independence.
Online Co-OP - take the battle online, form a Resistance Cell with your friends and earn your reputation as Heroes of the Revolution",5,134
