Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Wings of Prey - Collector's Edition [Download],24.99,0.0,3.5,22,9,3,1,1,5,Iceberg Interactive,Simulation_games,0,6,May,2011,0,0,0,PC,0,0,0,0
T.Flight U.S. Air Force Edition - The Multiplatform Gaming Headset (PC_DVD),97.31,12.68,3.8,143,71,27,7,14,22,THRUSTMASTER,Accessory-games,0,31,October,2018,0,0,0,"Pc, Windows_8",0,"Officially licensed by the U. S. Air Force, the T. Flight U. S. Air Force Edition features an exclusive design inspired by real headsets worn by pilots
Features 2""/50 mm drivers and a detachable, high-performance unidirectional noise-cancelling microphone
The perfect combination of audio performance and comfort, with ear pad cushions crafted of memory foam and gel for effective passive sound isolation
The T. Flight U. S. Air Force Edition headset also features an inline audio controller allowing the user to adjust and enable/disable the microphone
The included interchangeable faceplates allow for optimal customization of the headset",5,96
Company of Heroes 2 - PC,21.68,0.0,4.3,240,158,40,12,14,14,SEGA,Adventure-game-genre, Strategy-game-genre,0,0,0,Windows Vista, Windows XP,"CD-ROM, DVD-ROM",PC,0,"Blood and Snow Take command of the iconic Red Army on the Eastern Front and repel the Nazi invaders in the most brutal conflict of World War 2
Next Generation RTS The sequel to the highest rated RTS title of all time is pushing the boundaries of the RTS genre with new TrueSight and Dynamic Battle Tactics gameplay mechanics
Essence 3.0 Built on the latest rendition of Relic Entertainment?s state of the art proprietary engine, Company of Heroes 2 pushes the graphical and gameplay boundaries of the RTS genre
Tactical Expertise Develop and utilize your commander abilities based on your tactical preference and taste for war. Mold and customize your army to suit your individual playstyle before delivering tactical blows to annihilate your enemies
Competitive Multiplayer Featuring the great competitive multiplayer that fans have grown to expect from the Company of Heroes franchise",5,143
The Sims 3 Movie Stuff - PC,19.75,0.0,4.7,211,170,21,12,2,4,Electronic Arts,Life-simulation-game-genre,0,0,0,0,Windows 7,0,DVD-ROM,Pc,0,"Another addition for sims 3
expansion pack
movie pack",3,9
NHL 2004 - PC,-1.0,-1.0,4.0,37,22,4,3,3,4,EA Sports,Hockey Games,0,0,0,0,Windows ME, Windows XP,CD-ROM,Pc,0,"NHL Hockey simulation
Dynasty mode lets players take role of GM
39 new international leagues
New team-based moves
For 1 to 6 players; up to 12 players online",5,28
Real Crimes: Jack the Ripper (PC CD),9.18,0.0,3.8,15,6,1,4,2,0,Avanquest Software,Puzzle-games,0,0,0,0,Windows XP/Vista/7,0,CD-ROM,"Playstation 3, Pc, PC",0,"Investigate dozens of areas of interest including the 5 murder scenes
Retrace the steps of the victims and hunt for clues
Analyse the evidence and look for connections
Identify new “Ripper” suspects
Draw your ultimate conclusions and decide which suspect is Jack the Ripper",5,44
Dragon Ball FighterZ Ultimate Edition [Online Game Code],109.99,0.0,3.4,4,1,0,0,2,0,BANDAI NAMCO Entertainment,Action_games,0,26,January,2018,Windows 8.1, Windows 8,0,PC,0,"Includes the game, the FighterZ Pass, an anime music pack containing 11 songs from the DRAGON BALL anime, and a commentator voice pack
Exclusive Story Mode",2,26
MX vs ATV All Out [Online Game Code],39.99,0.0,4.0,5,3,0,0,0,1,THQ Nordic,Racing_games,0,9,April,2018,Windows 8.1, Windows 8,0,PC,0,"All Terrain, All Vehicles, All You!
MX vs ATV All Out is the complete off-road racing and lifestyle experience!
Compete in various modes like Supercross, Nationals, Opencross, Waypoint, Tag and more
Master insane stunts and test your limits in freestyle mode",4,41
Blair Witch Episode 1: Rustin Parr 1941 - PC,-1.0,-1.0,3.9,30,16,3,3,0,5,Gathering of Developers,Adventure_games,0,0,0,0,Windows ME, Windows 95,CD-ROM,Pc,0,0,0,0
MX vs ATV All Out [Online Game Code],39.99,0.0,4.0,5,3,0,0,0,1,THQ Nordic,Racing_games,0,9,April,2018,Windows 8.1, Windows 8,0,PC,0,"All Terrain, All Vehicles, All You!
MX vs ATV All Out is the complete off-road racing and lifestyle experience!
Compete in various modes like Supercross, Nationals, Opencross, Waypoint, Tag and more
Master insane stunts and test your limits in freestyle mode",4,41
