Name,Price,Discount,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Destroy All Humans! - PC,15.5,14.49,4.5,39,28,6,2,0,1,THQ Nordic,Shooter-action-game-genre,0,0,0,0,Windows 8,0,DVD-ROM,PC,0,"Experience the evil side of a 50s alien invasion story
Enjoy Crypto's unique weaponry like the Anal Probe Gun
Pose as pathetic humans to infiltrate their fragile democracy
Use psychokinesis to send enemies flying or bombard them with random objects
Includes the restored, much-rumored, never before seen: Lost Mission of Area 42!",5,52
Farming Simulator 22 Collector's Edition - PC,79.99,0.0,4.3,19,15,0,0,2,1,GIANTS Software (GmbH),Simulation-game-genre,0,0,0,0,Windows 10,0,DVD-ROM,PC,0,"400+ machines, new categories, 100+ agricultural brands Family-friendly, relaxed multiplayer mode for 1-16 players New crops & machinery: grapes, olives and sorghum
Seasonal cycles add new gameplay mechanics Production chains add new economic layer
Vastly improved customization Performance boost on all systems
Latest technology: DirectX 12, TAA, AMD FidelityFX Super Resolution etc
Two brand-new maps + updated alpine map",5,59
The Outer Worlds - PC [Online Game Code],59.99,0.0,4.6,25,20,1,2,0,1,Private Division,Role_playing_games, Shooter_action_games,23,October,2020,Windows,0,0,PC,0,"The player-driven story RPG: In keeping with the Obsidian tradition, how you approach The Outer Worlds is up to you. Your choices affect not only the way the story develops; but your character build, companion stories, and end game scenarios.
You can be flawed, in a good way: New to The Outer Worlds is the idea of flaws. A compelling hero is made by the flaws they carry with them. While playing The Outer Worlds, the game tracks your experience to find what you aren't particularly good at. Keep getting attacked by Raptidons? Taking the Raptiphobia flaw gives you a debuff when confronting the vicious creatures, but rewards you with an additional character perk immediately. This optional approach to the game helps you build the character you want while exploring Halcyon.
Lead your companions: During your journey through the furthest colony, you will meet a host of characters who will want to join your crew. Armed with unique abilities, these companions all have their own missions, motivations, and ideals. It's up to you to help them achieve their goals, or turn them to your own ends.",3,186
The Sims 4 Snowy Escape - PC (Online Game Code),24.98,15.02,4.7,786,652,78,31,7,15,Electronic Arts,Adventure_games, Simulation_games,13,November,2020,Windows 10,0,0,PC,0,"CHASE YOUR THRILLS - Test your Sim’s skill and endurance with activities on the mountainside
FIND YOUR ZEN - Let your Sim’s worries float away in the natural hot springs, then unwind over hot pot around the kotatsu table
CREATE YOUR SANCTUARY - With traditional details or modern touches of Japanese-inspired furniture and décor
DEFINE YOUR LIFESTYLE - Unlock new personality and relationship effects with the introduction of Lifestyles and Sentiments",4,71
NBA 2K22: 75th Anniversary Edition - PC [Online Game Code],59.99,40.0,4.4,15,10,3,0,0,1,2K,Sports_and_outdoors_games,0,10,September,2021,Windows 10,0,0,PC,0,"A WORLD OF BASKETBALL: NBA 2K22 puts the entire basketball universe in your hands. PLAY NOW in real NBA and WNBA environments against authentic teams and players.
Build your own dream team in MyTEAM with today’s stars and yesterday’s legends.
Live out your own pro journey in MyCAREER and experience your personal rise to the NBA.
Flex your management skills as a powerful Executive in MyGM and MyLEAGUE.",4,68
Star Wars Squadrons - Steam PC [Online Game Code],39.99,0.0,4.3,325,214,52,29,13,16,Electronic Arts,Sports_games, Sports_and_outdoors_games,2,October,2020,Windows 10,0,0,PC,0,"Master the art of starfighter combat in the authentic piloting experience Star Wars: Squadrons.
Step into cockpits of starfighters from the New Republic and Imperial fleets and fight in 5 vs. 5 space battles.
Take control of starfighters such as the X-wing and TIE fighter and customize your loadout and cosmetics.
Learn what it means to be a pilot in a thrilling Star Wars single-player story set after Return of the Jedi.
The New Republic fights for freedom. The Empire demands order. We need you to join the galaxy's finest.",5,90
Apex Legends Octane Edition - PC [Online Game Code],19.99,0.0,4.3,87,60,9,6,6,5,Electronic Arts,Adventure_games,0,19,February,2020,Windows 10,0,0,PC,0,"Apex Legend Octane Edition includes:
Legendary ""Arachnoid Rush"" Octane skin and Charge Rifle skin.
Exclusive ""Violet Widow"" gun charm.
Exclusive ""Venomous"" badge.
1,000 Apex Coins",5,25
Mafia: Trilogy - PC [Online Game Code],30.0,29.99,4.4,23,13,4,5,0,0,2K,Adventure_games,0,19,May,2020,Windows 10,0,0,PC,0,Includes all DLC for Mafia II and Mafia III,1,9
Apex Legends Octane Edition - PC [Online Game Code],19.99,0.0,4.3,87,60,9,6,6,5,Electronic Arts,Adventure_games,0,19,February,2020,Windows 10,0,0,PC,0,"Apex Legend Octane Edition includes:
Legendary ""Arachnoid Rush"" Octane skin and Charge Rifle skin.
Exclusive ""Violet Widow"" gun charm.
Exclusive ""Venomous"" badge.
1,000 Apex Coins",5,25
Civilization VI: New Frontier Pass - PC [Online Game Code],26.66,13.33,4.5,41,31,3,2,1,2,2K,Strategy_games,0,21,May,2020,Windows 10,0,0,PC,0,"Continue your quest to build your greatest empire with the Civilization VI - New Frontier Pass
Featuring eight new civilizations and nine new leaders
Exclusive bonus: Teddy Roosevelt and Catherine De Medici Persona Packs",3,34
